Flake.ID,Sec.Trans,Termin,Episode,L.mm,W.mm,T.mm,Max.Thick.mm,Or.Weight.g,Rem.Weight.g,W.Retrieved.g,GIUR.1.1,GIUR.1.2,GIUR.2.1,GIUR.2.2,GIUR.3.1,GIUR.3.2,Mean.Edge.Angle.Selected.ret
ML_IR_132,Triangular,Feather,0,54.4,32.1,21.6,22.9,46.32,46.32,0,0,21,0,21.2,0,17.7,70.33
ML_IR_133,Circular,Feather,0,78.8,72.6,26,28.5,141.45,141.45,0,0,25.6,0,20.9,0,10.6,29.67
ML_IR_134,Triangular Asymmetric,Feather,0,75.9,68.3,17.5,19.9,80.31,80.31,0,0,19,0,17.4,0,16.2,30.33
ML_IR_135,Trapezoidal,Feather,0,81.1,53.3,17.4,18.8,63.46,63.46,0,0,18.3,0,15.7,0,13.6,52.33
ML_IR_211,Trapezoidal,Feather,0,74.6,62.8,16.1,17.7,79.1,79.1,0,0,17.7,0,15.8,0,12.4,53.67
ML_IR_212,Triangular,Feather,0,79,90.4,20.2,19.9,130.21,130.21,0,0,19.8,0,19.4,0,15.2,34.67
ML_IR_213,Triangular Asymmetric,Feather,0,106.7,58.4,16.6,22.8,103.85,103.85,0,0,15,0,15.4,0,22.8,42.33
ML_IR_214,Triangular Asymmetric,Feather,0,79.6,61.9,18.7,16.8,71.35,71.35,0,0,16.2,0,15.3,0,12,28
ML_IR_215,Triangular,Feather,0,58.1,77.5,25.3,26.1,98.61,98.61,0,0,20,0,24.9,0,14.5,43.33
ML_IR_216,Triangular Asymmetric,Feather,0,78.5,41.6,16,19.7,59.17,59.17,0,0,19.3,0,15.9,0,9.5,41.33
ML_IR_217,Triangular,Feather,0,74.7,56.8,19.4,20,79.89,79.89,0,0,15.1,0,16.9,0,17.9,49.33
ML_IR_218,Triangular,Feather,0,89.6,62.3,19.1,21.8,90.22,90.22,0,0,21.6,0,19.1,0,14.8,37.33
ML_IR_219,Triangular,Feather,0,77.2,52,22.3,22.2,71.62,71.62,0,0,20.7,0,21.6,0,7.4,48
