Artifact.ID,Frag+AF8-Cat,Complete,Length,Max.Length,Width,Prox.Width,Dist.Width,Prox.Thick,Mid.Thick,Dist.Thick,Plane.Height,Platform.Morph,Platform.x,Platform.y,Platform.z,Platform.Profile,Platform.Preparation,Cortex,Cortex+AF8-Loc,No.Scars,Long.Ridges,Trans.Section,Termination.type,Flake.Type,Weight,EPA,IPA,Angle.1.1,Angle.1.2,Angle.1.3,Angle.2.1,Angle.2.2,Angle.2.3,Angle.3.1,Angle.3.2,Angle.3.3,Mean.Left.Edge,Mean.Right.Edge,Mean.Edge.Angle.Selected.ret,Max.Thick.mm
ML+AF8-IR+AF8-136,C,Y,56.3,56.3,46.8,35.3,18,12.4,9.8,8.5,11.1,Rhombus,13.9,7.2,NA,RT,L,4,3,3,0,Triangular Asymmetric,Feather,Backed Flake,23.35,79,104,NA,NA,NA,NA,65,NA,60,38,42,+ACM-DIV/0+ACE-,46.67,46.67,12.4
ML+AF8-IR+AF8-137,C,Y,94.3,94.3,74.4,38,60.1,19.3,25.5,6,25.9,Trapezoid,16.6,27,12.2,RT,L,2,2,2,0,Triangular Asymmetric,Feather,Backed Flake,110.35,70,112,NA,NA,NA,NA,26,NA,40,76,34,+ACM-DIV/0+ACE-,50,50,25.5
ML+AF8-IR+AF8-138,C,Y,44.2,44.2,37,31.2,35.6,19.9,14.5,9.2,14.6,Trapezoid,29.3,21.1,13.1,CX,C,4,3,3,0,Triangular,Feather,Flake,22.27,75,97,59,45,35,NA,36,NA,58,41,28,46.33,42.33,42.33,19.9
ML+AF8-IR+AF8-139,C,Y,62.6,62.6,46.1,24.5,45.8,13,12.3,13,14.1,Triangular,15.7,11.6,NA,CC,L,2,2,3,0,Trapezoidal,Feather,Flake,33.64,60,117,85,64,68,NA,83,NA,80,78,79,72.33,79,72.33,13
ML+AF8-IR+AF8-140,C,Y,45.3,45.3,43.1,34.6,31.5,10.3,9.7,6.3,9.7,Trapezoid,13.6,20,6.2,CX,L,5,5,3,0,Trapezoidal,Feather,Flake,17.08,70,111,46,50,41,NA,57,NA,55,50,48,45.67,51,45.67,10.3
ML+AF8-IR+AF8-141,C,Y,62.2,62.2,43.9,23.4,39.4,13.3,11.4,7.8,12.1,Trapezoid,5.8,13.6,11.3,CC,L,5,5,3,0,Triangular Asymmetric,Feather,Backed Flake,26.05,60,117,70,48,35,NA,33,NA,NA,NA,NA,51,+ACM-DIV/0+ACE-,51,13.3
ML+AF8-IR+AF8-142,C,Y,59.8,59.8,46.2,34.1,36.8,13.3,11.2,10.4,14.5,Triangular,11.2,10.4,NA,CX,L,4,3,4,0,Triangular Asymmetric,Feather,Backed Flake,34.43,81,104,NA,NA,NA,NA,25,NA,37,45,29,+ACM-DIV/0+ACE-,37,37,13.3
ML+AF8-IR+AF8-143,C,Y,74.6,74.6,52.8,46.5,50,18.1,14.1,11.1,15.2,Ellipse,14.5,8.2,NA,CX,C,1,1,0,0,Circular,Hinge,Flake,57.97,71,95,40,34,45,NA,114,NA,87,48,53,39.67,62.67,39.67,18.1
ML+AF8-IR+AF8-144,C,Y,69.6,80.2,52.8,28.6,21.5,12.9,15,9.8,13.7,Rectangle,7.5,11,NA,CX,C,1,1,0,0,Circular,Feather,Flake,33.57,70,116,75,71,74,NA,35,NA,61,60,71,73.33,64,64,15
ML+AF8-IR+AF8-145,C,Y,64.3,75.3,51.3,35.5,17.9,17.8,11.2,8.5,14.6,Trapezoid,17.2,35,14.5,CX,C,3,2,1,0,Triangular,Feather,Flake,33.27,50,120,45,35,39,NA,24,NA,89,81,65,39.67,78.33,39.67,17.8
