Artifact.ID,Frag+AF8-Cat,Complete,Length,Max.Length,Width,Prox.Width,Dist.Width,Prox.Thick,Mid.Thick,Dist.Thick,Plane.Height,Platform.Morph,Platform.x,Platform.y,Platform.z,Platform.Profile,Platform.Preparation,Cortex,Cortex+AF8-Loc,No.Scars,Long.Ridges,Trans.Section,Termination.type,Flake.Type,Weight,EPA,IPA,Angle.1.1,Angle.1.2,Angle.1.3,Angle.2.1,Angle.2.2,Angle.2.3,Angle.3.1,Angle.3.2,Angle.3.3,Mean.Left.Edge,Mean.Right.Edge,Mean.Edge.Angle.Selected.ret,Max.Thick.mm
ML+AF8-IR+AF8-177,C,Y,51.1,51.1,52.5,49.9,45.7,17.3,16.2,13.1,162.2,Trapezoid,28.8,52,13.8,CX,C,5,5,3,0,Triangular,Hinge,Flake,43.13,45,127,75,76,66,NA,112,NA,43,37,31,72.33,37,37,17.2
ML+AF8-IR+AF8-178,C,Y,58.8,58.8,40.7,20.7,27.1,7.8,9.1,6.4,10.9,Trapezoid,11.8,18.8,5.4,CC,L,2,2,1,0,Triangular,Feather,Flake,14.7,60,111,65,53,45,NA,35,NA,64,31,27,54.33,40.67,40.67,10.5
ML+AF8-IR+AF8-179,C,Y,53.5,53.5,34.4,28.3,32,11.6,9.3,10,9.9,Rhombus,21.2,10.6,NA,CC,C,2,2,1,0,Triangular,Hinge,Flake,20.77,70,110,70,63,55,NA,112,NA,40,35,32,62.67,35.67,35.67,11
ML+AF8-IR+AF8-180,C,Y,65.6,65.6,45.5,26.4,41.7,7.6,11.6,12.2,15.2,Triangular,15.9,9.8,NA,CX,L,2,2,2,0,Triangular,Feather,Flake,28,72,110,75,29,40,NA,65,NA,30,69,60,48,53,48,12.6
ML+AF8-IR+AF8-121,C,Y,36.5,36.5,38.6,36,28.4,9.8,14.6,10.6,14.6,Triangular,24.4,8,NA,CC,L,5,5,3,0,Triangular,Feather,Flake,11.35,84,95,35,37,32,NA,80,NA,50,56,67,34.67,57.67,34.67,14.8
ML+AF8-IR+AF8-122,C,Y,53,53,17.4,16,14.7,5.7,5,3.6,5.4,Trapezoid,7.2,16.5,4.7,CG,MF,5,5,2,1,Triangular,Feather,Flake,3.26,80,95,49,30,25,NA,11,NA,36,30,31,34.67,32.33,32.33,6.2
ML+AF8-IR+AF8-123,C,Y,28.5,28.5,20.6,16.1,13,6.3,4.9,3.1,5.5,Trapezoid,4.7,10.8,5.3,RT,L,5,5,2,1,Triangular,Feather,Flake,1.69,85,91,40,35,33,NA,26,NA,35,21,19,36,25,25,6.6
ML+AF8-IR+AF8-124,C,Y,42.6,42.6,43,24.3,34.4,13.8,10,8.5,10.5,Triangular,13.4,9.7,NA,CC,L,4,2,3,0,Triangular,Feather,Flake,11.82,75,99,70,60,68,NA,76,NA,44,31,30,66,35,35,13.8
ML+AF8-IR+AF8-125,C,Y,63.2,63.2,79.5,57.2,51.7,17.4,17.8,8.9,17.8,Rectangle,53,15.5,NA,CX,L,2,2,1,0,Circular,Feather,Flake,57.47,70,100,NA,NA,NA,39,35,35,NA,NA,NA,+ACM-DIV/0+ACE-,+ACM-DIV/0+ACE-,35,18.4
ML+AF8-IR+AF8-126,C,Y,100.9,100.9,85.5,38.7,73.1,21.3,34.7,19.4,35.9,Triangular,24.4,10.4,NA,CC,L,2,2,1,0,Triangular,Feather,Flake,166.7,75,112,84,66,55,NA,44,NA,55,65,65,68.33,61.67,61.67,34.8
ML+AF8-IR+AF8-127,C,Y,81.2,81.2,71.8,65.2,52,25.2,19.2,14.2,23.6,Trapezoid,28.4,23.8,12.6,CX,C,3,2,4,0,Triangular Asymmetric,Feather,Backed Flake,142.66,58,129,NA,NA,NA,NA,68,NA,38,38,35,+ACM-DIV/0+ACE-,37,37,26
ML+AF8-IR+AF8-128,C,Y,72.8,72.8,83.3,82,50.2,22.3,24.5,13.9,24.5,Trapezoid,22.8,20.9,15.2,CC,L,3,3,4,0,Triangular Asymmetric,Feather,Backed Flake,119.53,65,125,NA,NA,NA,60,66,61,77,60,66,+ACM-DIV/0+ACE-,67.67,67.67,27
ML+AF8-IR+AF8-129,C,Y,94.1,94.1,83.1,43.8,66.5,25.3,34,20.2,34,Rhombus,16.9,9.2,NA,RT,L,2,2,1,0,Triangular,Feather,Flake,200.73,62,115,55,53,61,NA,65,NA,80,55,46,56.33,60.33,56.33,36
ML+AF8-IR+AF8-130,C,Y,70.5,70.5,70.6,43.1,68.7,20.8,21.8,19.6,21.8,Trapezoid,10.6,24.1,10.3,RT,L,2,2,2,0,Triangular Asymmetric,Feather,Backed Flake,101.27,55,129,NA,NA,NA,NA,95,NA,56,39,53,+ACM-DIV/0+ACE-,49.33,49.33,25
ML+AF8-IR+AF8-131,C,Y,70.8,70.8,57.8,48.3,37.9,24.4,24,16.1,24,Triangular,39.4,17.7,NA,CX,L,2,1,1,0,Triangular Asymmetric,Feather,Backed Flake,70.12,62,110,NA,NA,NA,NA,30,NA,40,42,31,+ACM-DIV/0+ACE-,37.67,37.67,29.7
ML+AF8-IR+AF8-132,C,Y,54.4,54.4,32.1,30,32.5,20.1,21.6,18.1,23.2,Trapezoid,13.9,25.2,12.2,CX,L,4,3,3,0,Triangular,Feather,Flake,46.32,69,114,79,79,86,NA,81,NA,54,73,84,81.33,70.33,70.33,22.9
ML+AF8-IR+AF8-133,C,Y,78.8,78.8,72.6,81.5,71.1,25.1,26,12.8,26.1,Trapezoid,37.3,42.7,15.5,CX,C,5,5,3,0,Circular,Feather,Flake,141.32,76,109,NA,NA,NA,35,25,29,NA,NA,NA,+ACM-DIV/0+ACE-,+ACM-DIV/0+ACE-,29.67,28.5
ML+AF8-IR+AF8-134,C,Y,75.9,75.9,68.3,47.6,65.3,20,17.5,16.1,17.5,Trapezoid,22.4,34.9,14.5,CC,L,2,1,1,0,Triangular Asymmetric,Feather,Backed Flake,80.35,48,125,NA,NA,NA,NA,60,NA,37,31,23,+ACM-DIV/0+ACE-,30.33,30.33,19.9
ML+AF8-IR+AF8-135,C,Y,81.1,81.1,53.3,39,52.3,17.8,17.4,12.1,19.1,Triangular,44,14,NA,CX,C,1,1,0,0,Trapezoidal,Feather,Flake,63.47,61,115,75,74,66,NA,30,NA,64,43,50,71.67,52.33,52.33,18.8
ML+AF8-IR+AF8-211,Complete,Yes,74.6,74.6,62.8,49.5,63.1,18.1,16.1,11,18.8,Trapezoid,29.1,36.4,8.4,CX,L,3,2,3,0,Trapezoidal,Feather,Flake,79.1,64,110,81,77,85,43,40,25,66,40,55,81,53.67,53.67,17.7
ML+AF8-IR+AF8-212,Complete,Yes,79,97.6,90.4,52.8,88.6,20,20.2,17.6,22.2,Rhombus,34.3,12.4,NA,CX,L,2,2,2,0,Triangular,Feather,Flake,130.21,72,103,51,48,54,72,37,35,37,37,30,51,34.67,34.67,19.9
ML+AF8-IR+AF8-213,Complete,Yes,106.7,108.5,58.4,32.9,46.4,15.3,16.6,18.8,27.7,Triangular,25.2,13.6,NA,BF,D,1,1,0,0,Triangular Asymmetric,Feather,Backed Flake,103.85,70,103,NA,NA,NA,NA,45,NA,35,43,49,+ACM-DIV/0+ACE-,42.33,42.33,22.8
ML+AF8-IR+AF8-214,Complete,Yes,79.6,81.4,61.9,41,57,16.7,18.7,12.7,19.3,Rhombus,17.5,6.5,NA,CX,C,1,1,0,0,Triangular Asymmetric,Feather,Flake,71.35,69,110,NA,NA,NA,NA,55,NA,33,26,25,+ACM-DIV/0+ACE-,28,28,16.8
ML+AF8-IR+AF8-215,Complete,Yes,58.1,58.1,77.5,56.8,71.2,21.7,25.3,17.2,25.5,Triangular,36.5,7.6,NA,CX,C,1,1,0,0,Triangular,Feather,Flake,98.61,71,107,50,59,55,66,60,58,47,40,43,54.67,43.33,43.33,26.1
ML+AF8-IR+AF8-216,Complete,Yes,78.5,86.1,41.6,36.2,30.8,20.1,16,9.4,16.1,Triangular,27.9,13.3,NA,RT,L,1,1,0,0,Triangular Asymmetric,Feather,Flake,59.17,66,98,54,45,25,NA,29,NA,NA,NA,NA,41.33,+ACM-DIV/0+ACE-,41.33,19.7
ML+AF8-IR+AF8-217,Complete,Yes,74.7,74.7,56.8,44.9,56.2,14.9,19.4,17.6,22.2,Rhombus,32.5,13.6,NA,CC,L,2,2,3,0,Triangular,Feather,Flake,79.89,79,115,60,47,41,NA,67,NA,NA,NA,NA,49.33,+ACM-DIV/0+ACE-,49.33,20
ML+AF8-IR+AF8-218,Complete,Yes,89.6,89.6,62.3,47.2,50.2,21.6,19.1,12.8,18.6,Trapezoid,7.6,37.1,17.2,CC,L,3,3,3,0,Triangular,Feather,Flake,90.22,80,111,40,32,40,NA,45,NA,64,39,42,37.33,48.33,37.33,21.8
ML+AF8-IR+AF8-219,Complete,Yes,77.2,77.2,52,38.8,40.5,19.4,22.3,8.4,24.9,Trapezoid,22.5,26.2,6.4,CX,L,2,2,1,0,Triangular,Feather,Flake,71.62,50,125,50,60,34,NA,22,NA,70,72,40,48,60.67,48,22.2
ML+AF8-IR+AF8-220,Complete,Yes,71.9,71.9,63.6,49.1,49.5,17,13.2,6.1,16.4,Rectangle,21.2,17.8,NA,CX,L,3,2,2,0,Trapezoidal Asymmetric,Feather,Backed Flake,55.36,59,110,NA,NA,NA,NA,30,NA,70,50,34,+ACM-DIV/0+ACE-,51.33,51.33,17
ML+AF8-IR+AF8-221,Complete,Yes,65.1,65.2,51.3,32.4,46.4,24.3,21.5,19.4,23.3,Triangular,25,14.9,NA,RT,L,3,3,2,0,Triangular Asymmetric,Feather,Backed Flake,51.42,71,115,NA,NA,NA,NA,40,NA,38,34,46,+ACM-DIV/0+ACE-,39.33,39.33,25.4
ML+AF8-IR+AF8-222,Complete,Yes,82,82,42.6,38.6,25.1,18.4,18.1,10.7,22,Triangular,26.3,8.3,NA,CX,C,1,1,0,0,Triangular,Feather,Flake,61.6,69,110,42,43,42,NA,45,NA,63,50,57,42.33,56.67,42.33,18.5
ML+AF8-IR+AF8-223,Complete,Yes,76.3,76.3,39.5,39.5,31.4,19.3,20.4,12.2,22.5,Triangular,26.7,12.3,NA,RT,L,3,2,2,0,Triangular,Feather,Flake,65.99,79,95,65,69,60,NA,40,NA,60,58,64,64.67,60.67,60.67,21.3
ML+AF8-IR+AF8-225,Complete,Yes,58,58,54.4,35.8,48.7,19.6,16.6,10.4,16.9,Triangular,28.1,14.2,NA,CX,C,2,2,1,0,Circular,Feather,Flake,47.45,60,105,84,50,39,NA,40,NA,83,25,40,57.67,49.33,49.33,20.7
ML+AF8-IR+AF8-226,Complete,Yes,85.7,85.7,70.3,70,54.3,20.5,16,7.2,17.4,Rhombus,30.1,11.4,NA,RT,C,2,3,4,0,Circular,Feather,Flake,107.2,68,117,48,49,37,NA,25,NA,25,51,53,44.67,43,43,20.6
ML+AF8-IR+AF8-227,Complete,Yes,71.1,71.1,49.5,43.6,38.1,14.5,14.7,11.7,16.5,Triangular,15.3,5.8,NA,RT,L,3,2,2,0,Triangular,Feather,Flake,49.29,79,93,75,33,35,NA,77,NA,59,50,49,47.67,52.67,47.67,14.8
ML+AF8-IR+AF8-228,Complete,Yes,51.8,68.8,58.7,45.5,51.3,10.7,11.2,6.9,13.3,Triangular,6.7,3.5,NA,RT,C,2,3,1,0,Circular,Feather,Flake,27.69,77,105,35,33,25,NA,45,NA,41,26,20,31,29,29,12
ML+AF8-IR+AF8-229,Complete,Yes,56.3,61.1,53.4,29.2,43.8,20,18.4,11.3,19.4,Trapezoid,15.3,24,9.7,CX,L,5,5,5,0,Triangular Asymmetric,Feather,Backed Flake,44.02,60,102,80,63,55,NA,32,NA,NA,NA,NA,66,+ACM-DIV/0+ACE-,66,20
ML+AF8-IR+AF8-230,Complete,Yes,86.1,86.1,60.9,53.3,46.6,16.4,14.6,8,16.3,Rhombus,21,8.6,NA,RT,L,2,2,1,0,Triangular,Feather,Flake,62.23,70,104,20,20,21,NA,15,NA,43,29,34,20.33,35.33,20.33,16.8
ML+AF8-IR+AF8-231,Complete,Yes,74.6,77.7,58.6,39.1,44.8,13.9,13.7,10.1,15,Ellipse,22.7,7.5,NA,RT,L,1,1,0,0,Triangular,Hinge,Flake,51.85,65,116,69,65,58,NA,105,NA,29,23,24,64,25.33,25.33,17.3
ML+AF8-IR+AF8-232,Complete,Yes,68.5,70.6,48.3,37.7,25.7,9.7,9.9,5.7,10.1,Triangular,19,7.5,NA,CC,L,5,5,3,0,Triangular Asymmetric,Feather,Backed Flake,22.66,80,100,27,19,15,NA,19,NA,NA,NA,NA,20.33,+ACM-DIV/0+ACE-,20.33,10.3
ML+AF8-IR+AF8-233,Complete,Yes,56.5,56.5,54.4,36.9,51.2,13.3,14.3,13.9,14.6,Triangular,29.4,8,NA,RT,C,3,4,2,0,Triangular,Hinge,Flake,37.87,79,105,58,45,45,NA,115,NA,54,33,40,49.33,42.33,42.33,14.4
ML+AF8-IR+AF8-234,Complete,Yes,56.2,56.5,44.5,36.8,38.5,12.6,12.5,11.3,17.2,Rhombus,24.3,10.6,NA,RT,L,2,2,2,0,Triangular,Feather,Flake,28.3,67,112,56,38,43,NA,48,NA,45,56,47,45.67,49.33,45.67,13.5
ML+AF8-IR+AF8-235,Complete,Yes,86.4,86.4,51,18.4,29.1,14.4,14.2,4.7,19,Triangular,17.5,10.2,NA,RT,C,3,2,2,0,Triangular Asymmetric,Feather,Backed Flake,34.68,71,105,56,40,35,NA,32,NA,NA,NA,NA,43.67,+ACM-DIV/0+ACE-,43.67,14.6
ML+AF8-IR+AF8-236,Complete,Yes,89.4,89.4,67.3,50.5,66.2,26.2,28.5,24.8,31.3,Rhombus,19.5,16.1,NA,CC,L,2,4,4,0,Triangular,Feather,Flake,178.08,57,126,79,53,74,NA,50,NA,88,86,66,68.67,80,68.67,30.2
ML+AF8-IR+AF8-237,Complete,Yes,94.6,94.6,64.6,54.6,40.6,19.1,26.3,20.3,26.5,Triangular,19.9,10.3,NA,CX,L,5,5,3,0,Triangular Asymmetric,Feather,Backed Flake,121.2,79,108,NA,NA,NA,NA,70,NA,48,38,30,+ACM-DIV/0+ACE-,38.67,38.67,27.7
ML+AF8-IR+AF8-238,Complete,Yes,72.7,72.7,66,57.5,59.3,23.6,14.9,11.3,17.4,Trapezoid,8,4.4,12,RT,L,2,2,2,0,Circular,Feather,Flake,85.79,79,101,70,43,37,NA,45,NA,35,55,32,50,40.67,40.67,23.2
ML+AF8-IR+AF8-239,Complete,Yes,69.4,72.1,53.1,52.7,25,23.7,21.4,16.2,22.8,Triangular,28.8,14,NA,RT,L,5,5,3,0,Trapezoidal Asymmetric,Feather,Backed Flake,71.51,60,116,55,49,82,NA,80,NA,NA,NA,NA,62,+ACM-DIV/0+ACE-,62,24.1
ML+AF8-IR+AF8-240,Complete,Yes,85.3,85.3,49.6,47.5,41.1,30.1,24,15.6,26.8,Trapezoid,30,40.4,13.8,CX,L,2,2,2,0,Triangular,Feather,Flake,102.3,74,105,68,35,39,NA,50,NA,61,73,60,47.33,64.67,47.33,30.5
