Referencia,Sec.Trans,Termin,Episode,L.mm,A.mm,G.mm,Max.Thick.mm,Or.Weight.g,Rem.Weight.g,W.Retrieved.g,GIUR.1.1,GIUR.1.2,GIUR.2.1,GIUR.2.2,GIUR.3.1,GIUR.3.2
ML_IR_04,Triangular,Feather,2,33.8,37,10.1,11.2,14.4,13.2,1.2,4.2,11.4,6.2,9.6,6.7,9.4
ML_IR_05,Triangular,Feather,2,51.5,32.7,12.4,14.4,21.11,19.95,1.16,4,14.4,3.7,10,2.7,8.6
ML_IR_06,Triangular Asymmetric,Feather,2,49.1,30.7,10.9,12.1,17.08,16.06,1.02,6.4,10.7,5.4,10.7,5,9
ML_IR_07,Trapezoidal,Feather,2,45.1,27.2,7.6,12.2,15.75,14.35,1.4,5.8,11.8,5,8.3,2.6,7
ML_IR_08,Triangular,Hinge,2,52.1,23,15.3,19.2,25.49,21.93,3.56,7.5,17.5,10.5,15.6,8.6,13.2
ML_IR_09,Circular,Feather,2,38.2,26.1,5.5,7.1,8.78,6.66,2.12,4.9,7.5,2.6,5.4,2.3,4
ML_IR_10,Trapezoidal Asymmetric,Feather,2,33.3,25.5,9.7,13.1,10.15,9.68,0.470000000000001,4.4,10.1,5.3,10.4,2.3,7.2
ML_IR_11,Triangular,Feather,2,53.5,27.8,5.5,7.5,10.8,9.74,1.06,4.5,6.5,3.2,5.6,1.8,5.8
ML_IR_12,Triangular,Feather,2,43.6,27.7,8.1,12.5,13.47,12.18,1.29,6.3,11.4,4,7.9,3.7,6.6
ML_IR_13,Trapezoidal Asymmetric,Hinge,2,52.5,35,12.8,16.3,28.82,25.34,3.48,10.3,15.3,6.5,12.8,4.9,8.1
ML_IR_14,Trapezoidal,Feather,2,39.9,29.2,4.5,7.3,5.8,5.66,0.14,2.5,6.2,1.4,4.4,1.6,3.2
ML_IR_15,Circular,Hinge,2,21.4,35.1,7.8,10,6.82,5.72,1.1,3.3,7.6,4.9,8.9,3.8,5.6
ML_IR_181,Trapezoidal Asymmetric,Feather,2,81.4,38.6,12.2,13,42.78,41.6,1.18,6.5,12.8,3.8,10.1,3.2,8.7
ML_IR_182,Trapezoidal,Feather,2,80.4,43.8,10.2,13.2,44.82,40.88,3.94,11.5,12.5,4.9,10.8,3.9,6.2
ML_IR_183,Circular,Feather,2,63.7,52.5,10.8,14.6,43.71,37.49,6.22,9.3,13,6.4,12,6.6,10.1
ML_IR_185,Triangular Asymmetric,Feather,2,53.1,46.5,18.7,21.6,46.07,44.19,1.88,8.5,20.3,2.9,18.3,2.1,11.5
ML_IR_186,Triangular,Feather,2,51.2,41.6,13.2,13.8,30.2,27.41,2.79,7,11.6,6.6,13.6,7.1,12.3
ML_IR_187,Triangular,Feather,2,94.1,34.6,7.7,10.4,32,30.83,1.17,3.3,10.2,3.2,8,4.6,7.8
ML_IR_188,Circular,Feather,2,45.8,35.6,6.2,9.4,11.6,11.05,0.549999999999999,2.9,8.9,1.6,6.8,2,4.1
ML_IR_189,Triangular Asymmetric,Feather,2,43.7,42.7,12,12.3,13.96,13.23,0.73,3.4,8.8,2.9,11.7,2.9,9.9
ML_IR_190,Trapezoidal,Feather,2,60.8,27.5,6.4,6.4,13.4,12.61,0.790000000000001,3,5.8,2.6,6.4,2.9,4.9
ML_IR_191,Trapezoidal,Feather,2,48.2,39.3,4.2,7.2,12.11,10.83,1.28,3.2,4.9,4,4.1,3.8,4.1
ML_IR_192,Circular,Feather,2,28.7,53.4,9.8,11.3,14.36,13.78,0.58,2.4,10.9,3,10.6,2.5,9.9
ML_IR_193,Circular,Feather,2,30,37.1,8.4,9.6,11.36,10.76,0.6,1.7,6.9,2.8,9.4,4,9.2
ML_IR_194,Triangular,Feather,2,48.1,39,6.2,8.8,12,11.44,0.560000000000001,2.2,9.2,2.5,6.6,2,5.6
ML_IR_195,Triangular,Feather,2,41.7,40.1,9.2,10.2,12.23,11.64,0.59,2.8,10.4,3,9.6,2.6,7.3
ML_IR_196,Trapezoidal Asymmetric,Feather,3,68.4,44,6,8,24.08,21.95,2.13,6.8,7.2,3.1,5.1,3.5,5.5
ML_IR_197,Triangular Asymmetric,Feather,3,59.8,41,15.5,18.2,48.55,42.42,6.13,12.7,17.2,8,16.6,7.7,14.8
ML_IR_199,Triangular,Feather,3,76.4,53.8,18.1,19.1,83.17,69.35,13.82,12.3,18.1,17.6,18.4,12.9,16.1
ML_IR_200,Triangular Asymmetric,Feather,3,48.9,41.2,19.7,20.6,46.64,42.36,4.28,14.7,19.5,7,16.8,5.6,11.6
ML_IR_201,Triangular,Feather,3,62,48.7,8.8,9.4,28.74,25.25,3.49,7.1,10,4.7,9.3,4,8.5
ML_IR_202,Triangular,Feather,3,63.8,42.8,11.4,14,31.69,28.76,2.93,9,13.9,7.8,11.6,7.2,8.3
ML_IR_203,Triangular,Plunging,3,82.8,52.5,15.5,18.2,88.65,78.61,10.04,10.6,17.7,7.5,18.3,9.6,17.5
ML_IR_204,Trapezoidal,Feather,3,77.3,50,18.5,21.4,95.66,88,7.66,13.3,20.4,14.2,21.4,11.3,18
ML_IR_205,Triangular,Feather,3,60.5,42.1,13.8,16.3,42.44,38.48,3.96,8.3,15.6,7.1,13.7,6,9
ML_IR_206,Triangular Asymmetric,Feather,3,52.7,45.2,23.7,24.5,50.93,44.04,6.89,6.3,18.8,12.7,24.1,6,19.5
ML_IR_207,Triangular,Feather,3,74,31,11.7,13.6,36.46,33.12,3.34,9.9,13.3,8.5,11.7,7.4,9.8
ML_IR_208,Triangular Asymmetric,Feather,3,66,40.3,9.9,13.2,35.34,29.77,5.57,8.3,9.8,9.6,10.4,5.5,10.3
ML_IR_209,Triangular Asymmetric,Feather,3,61.1,53.3,22.6,23.2,78.7,68.71,9.99000000000001,12.7,22.7,9.7,21.4,10.2,17.4
ML_IR_210,Triangular,Feather,3,104,42.4,16.5,21,81.7,68.58,13.12,13.1,20.9,12.2,16.3,10.1,12
ML_IR_151,Trapezoidal,Feather,0,65.3,53.5,10.6,12.4,35.61,35.61,0,0,12.4,0,10.7,0,9.4
ML_IR_152,Trapezoidal Asymmetric,Feather,0,58.1,45.1,11,11.3,24.54,24.54,0,0,11.2,0,10.5,0,6.4
ML_IR_153,Circular,Feather,0,55.5,44.6,8.5,11.7,17.39,17.39,0,0,10.1,0,8,0,3.6
ML_IR_154,Triangular,Feather,0,57.4,33.9,6,7.2,10.68,10.68,0,0,5.8,0,6.2,0,5
ML_IR_155,Trapezoidal Asymmetric,Feather,0,78,51.7,28.9,29,94.12,94.12,0,0,20.7,0,29,0,20.9
ML_IR_156,Triangular,Feather,0,49.3,42.3,8.6,18.2,20.3,20.3,0,0,13.2,0,8.8,0,6.7
ML_IR_157,Triangular,Feather,0,46.2,43.6,17.1,20.1,29.1,29.1,0,0,18.7,0,15.2,0,11.4
ML_IR_158,Triangular,Feather,0,54.4,62.1,11.8,19.2,22.69,22.69,0,0,17.2,0,11.6,0,5.9
ML_IR_159,Trapezoidal,Feather,0,62.8,37.1,11.3,14.2,27.1,27.1,0,0,12.5,0,9.3,0,8.9
ML_IR_160,Triangular,Feather,0,42.5,41.5,9.1,14.2,12.73,12.73,0,0,12,0,8.6,0,5.9
ML_IR_161,Triangular,Feather,0,48.6,43,8.6,13.7,17.49,17.49,0,0,11.9,0,8.6,0,9.5
ML_IR_162,Triangular Asymmetric,Feather,0,60.5,31.4,12.2,13.7,24.47,24.47,0,0,12.1,0,12.5,0,7.7
ML_IR_163,Triangular,Feather,0,83,42,19.9,21.2,48.32,48.32,0,0,15.5,0,17.4,0,14.3
ML_IR_164,Triangular,Plunging,0,78.3,45.9,15.7,17.3,55.1,55.1,0,0,13.2,0,16.4,0,17.3
ML_IR_165,Triangular Asymmetric,Feather,0,91.5,46.3,25.7,28.9,94.45,94.45,0,0,21.5,0,25.1,0,21.6
ML_IR_181,Trapezoidal Asymmetric,Feather,3,82.2,35.6,11.6,13.2,42.78,40.39,2.39,6.7,12.6,4.6,10.6,3.9,8.5
